titulo,categoria,resumen,puntos_clave,enlace,fecha_procesado
🧬 SPICED: Marco Inspirado en Homeostasis Sináptica para Decodificación Continua de EEG,📂 Inteligencia Artificial,"Framework neuromórfico que emula homeostasis sináptica cerebral para adaptación continua no supervisada a EEG de nuevos individuos. Integra reactivación de memoria, consolidación sináptica y renormalización. Mitiga olvido catastrófico en aprendizaje continuo.","Homeostasis sináptica, EEG continuo, aprendizaje no supervisado, mitigación de olvido",🔗 https://arxiv.org/pdf/2509.17439,2025-09-23
🌍 AI Pangaea: Unificando Islas de Inteligencia para Adaptación a Múltiples Tareas,📂 Inteligencia Artificial,"Primer supercontinente de IA que unifica datos en formato universal y acumula conocimiento mediante pre-entrenamiento en 296 datasets. Demuestra generalización notable en 60 tareas generales y científicas, revelando efecto de escalado multimodal.","Unificación multimodal, conocimiento universal, escalado multimodal, AGI",🔗 https://arxiv.org/pdf/2509.17460,2025-09-23
🌾 Asistente Conversacional Multimodal para Caracterización de Parcelas Agrícolas con Datos Geoespaciales,📂 Inteligencia Artificial,"Asistente de código abierto que combina recuperación multimodal y LLMs para interacción natural con datos agrícolas y geoespaciales. Arquitectura integra ortofotos, índices de vegetación y documentos mediante RAG. Evaluación con metodología LLM-as-a-judge.","Asistente agrícola, RAG multimodal, datos geoespaciales, evaluación automatizada",🔗 https://arxiv.org/pdf/2509.17544,2025-09-23
🔒 ¿Es Ciertamente un Deepfake? Análisis de Confiabilidad en el Ecosistema de Detección y Generación,📂 Inteligencia Artificial,"Primer análisis integral de incertidumbre en detectores de deepfakes, investigando cómo los artefactos generativos influyen en la confianza predictiva. Utiliza Redes Neuronales Bayesianas y Monte Carlo dropout para cuantificar incertidumbres. Introduce mapas de incertidumbre a nivel de píxel.","Análisis de incertidumbre, detección de deepfakes, confiabilidad, mapas de confianza",🔗 https://arxiv.org/pdf/2509.17550,2025-09-23
💾 MontePrep: Preparación Automática de Datos Impulsada por Monte Carlo sin Instancias de Datos Objetivo,📂 Inteligencia Artificial,"Framework ADP que permite síntesis de pipelines sin entrenamiento y sin acceso a datos objetivo. Utiliza LLMs y Búsqueda en Árbol de Monte Carlo con tres componentes: sandbox de acciones, generador de pipelines y optimizador de ejecución. Supera significativamente a cinco competidores.","Preparación automática, cero instancias objetivo, MCTS, pipelines ejecutables",🔗 https://arxiv.org/pdf/2509.17553,2025-09-23
titulo,categoria,resumen,puntos_clave,enlace,fecha_procesado
🤖 LIMI: Menos es Más para la Agencia,📂 Inteligencia Artificial,"📝 Este trabajo desafía el paradigma de que más datos producen mejor agencia en IA, demostrando que la inteligencia agentica puede emerger de muestras mínimas pero estratégicamente curadas. LIMI logra un 73.5% en benchmarks de agencia usando solo 78 muestras de entrenamiento, superando significativamente a modelos state-of-the-art.","🎯 Principio de Eficiencia de Agencia, 128 veces menos muestras que modelos convencionales, 53.7% de mejora sobre modelos con 10,000 muestras",🔗 https://arxiv.org/pdf/2509.17567,2025-09-23
💻 Table2LaTeX-RL: Generación de Código LaTeX de Alta Fidelidad desde Imágenes de Tablas,📂 Inteligencia Artificial,📝 Propone un framework multimodal con aprendizaje por refuerzo para convertir imágenes de tablas complejas en código LaTeX. Introduce recompensas duales (estructura y fidelidad visual) y supera métodos existentes en tablas con estructuras anidadas y contenido irregular.,"🎯 Modelo multimodal con refuerzo, recompensas duales de estructura y visual, mejor rendimiento en tablas complejas",🔗 https://arxiv.org/pdf/2509.17589,2025-09-23
🔧 EngiBench: Benchmark para Evaluar Modelos de Lenguaje en Resolución de Problemas de Ingeniería,📂 Inteligencia Artificial,"📝 Introduce un benchmark jerárquico que evalúa LLMs en problemas de ingeniería reales, considerando incertidumbre y contexto. Revela que los modelos actuales carecen del razonamiento de alto nivel necesario para ingeniería del mundo real.","🎯 Tres niveles de dificultad, evaluación de robustez y conocimiento específico, brecha significativa con expertos humanos",🔗 https://arxiv.org/pdf/2509.17677,2025-09-23
⚙️ Consistencia de Arco Virtual para Restricciones Lineales en Redes de Funciones de Costo,📂 Inteligencia Artificial,📝 Adapta algoritmos de consistencia de arco suave para manejar restricciones lineales en problemas de optimización discreta. Mejora significativamente los límites inferiores y reduce el tiempo de resolución en varios benchmarks.,"🎯 Algoritmo SAC para restricciones lineales, mejores límites inferiores, reducción de tiempo de resolución",🔗 https://arxiv.org/pdf/2509.17706,2025-09-23
💬 DA-Mamba: Modelo de Espacio de Estados Selectivo para Estimación de Compromiso Multimodal,📂 Inteligencia Artificial,📝 Arquitectura multimodal que reemplaza codificadores de diálogo basados en atención con procesamiento Mamba para estimar compromiso humano. Logra complejidad lineal en tiempo y memoria manteniendo razonamiento cross-modal expresivo.,"🎯 Procesamiento Mamba, complejidad lineal, mejor rendimiento en benchmarks de compromiso conversacional",🔗 https://arxiv.org/pdf/2509.17711,2025-09-23
🌳 Equivalencia Predictiva Eficiente y Correcta para Árboles de Decisión,📂 Inteligencia Artificial,📝 Demuestra limitaciones del método Quine-McCluskey para equivalencia predictiva en árboles de decisión. Propone algoritmos polinomiales que son más eficientes y correctos que aproximaciones anteriores.,"🎯 Algoritmos polinomiales, corrección de métodos anteriores, órdenes de magnitud más rápidos",🔗 https://arxiv.org/pdf/2509.17774,2025-09-23
🎯 Mitigación del Sesgo en Selección de Estrategias para Escalado en Tiempo de Prueba,📂 Inteligencia Artificial,"📝 Identifica sesgo en selección de estrategias de razonamiento durante escalado en tiempo de prueba. Introduce TTS-Uniform para asignar presupuesto de muestreo uniformemente across estrategias, mejorando efectividad del escalado.","🎯 Mitigación de sesgo de estrategias, asignación uniforme de presupuesto, mejora significativa en múltiples LLMs",🔗 https://arxiv.org/pdf/2509.17905,2025-09-23
🖼️ MEF: Marco de Evaluación Sistemática para Modelos de Texto a Imagen,📂 Inteligencia Artificial,📝 Framework sistemático que combina ELO y MOS para evaluar modelos T2I desde perspectiva de escenarios de aplicación. Introduce Magic-Bench-377 con cobertura balanceada de capacidades y escenarios de usuario.,"🎯 Taxonomía estructurada, evaluación conjunta ELO-MOS, benchmark abierto con 377 escenarios",🔗 https://arxiv.org/pdf/2509.17907,2025-09-23
💻 Orcust: Aprendizaje por Refuerzo con Retroalimentación Escalonada para Agentes de GUI,📂 Inteligencia Artificial,📝 Framework que integra modelado de recompensas restringido por principios y construcción de trayectorias en máquinas virtuales. Mejora razonamiento y eficiencia de datos en tareas interactivas de interfaz gráfica.,"🎯 Mejoras del 22.2-23.9% en benchmarks, recompensas interpretables, recolección autónoma de trayectorias",🔗 https://arxiv.org/pdf/2509.17917,2025-09-23
🔍 'Creo que esto es justo': Complejidades en la Toma de Decisiones sobre Equidad en IA,📂 Inteligencia Artificial,"📝 Estudio cualitativo con stakeholders sin experiencia en IA revela que sus decisiones de equidad son más complejas que las prácticas expertas tradicionales, considerando características más allá de las legalmente protegidas y umbrales más estrictos.","🎯 Decisiones complejas de stakeholders, características más allá de protegidas, umbrales de equidad más estrictos",🔗 https://arxiv.org/pdf/2509.17956,2025-09-23
titulo,categoria,resumen,puntos_clave,enlace,fecha_procesado
🤖 Sobre los Costos Variacionales de Cambiar de Opinión,📂 Inteligencia Artificial,"📝 Propone que los 'sesgos' cognitivos como la confirmación no son errores, sino adaptaciones a los costos pragmáticos de revisar creencias. Introduce un marco formal que modela la actualización de creencias como decisión variacional motivada, donde se equilibra la utilidad percibida con el costo informativo.","🎯 Modelo de actualización de creencias como decisión variacional, Sesgos cognitivos como adaptación racional, Experimentos computacionales emulan confirmación y polarización",🔗 https://arxiv.org/pdf/2509.17957,2025-09-23
🤖 Protocolo STAR-XAI: Un Marco Interactivo para Inducir Agencia de Segundo Orden en Agentes de IA,📂 Inteligencia Artificial,"📝 Presenta un protocolo para entrenar agentes de IA confiables mediante diálogo socrático estructurado. Incluye un ciclo de juego interactivo y checksums que previenen acumulación de errores, transformando modelos opacos en agentes de 'caja clara' verificables.","🎯 Diálogo socrático estructurado para IA explicable, Agencia de segundo orden y auto-corrección, Verificación mediante paquete de transferencia de conciencia",🔗 https://arxiv.org/pdf/2509.17978,2025-09-23
🤖 Mejora de Llamadas a Función e Interpretabilidad en LLMs mediante Plantillas Guiadas Estructuradas,📂 Inteligencia Artificial,"📝 Introduce plantillas de razonamiento estructurado para guiar a los LLMs en tareas de llamada a funciones. El marco reduce errores en uso de herramientas y mejora robustez e interpretabilidad, con mejoras del 3-12% sobre métodos baseline.","🎯 Plantillas estructuradas para llamadas a funciones, Mejora robustez e interpretabilidad, Reducción de errores en interacción con herramientas",🔗 https://arxiv.org/pdf/2509.18076,2025-09-23
🤖 Reasoning Core: Entorno Escalable de RL para Razonamiento Simbólico en LLMs,📂 Inteligencia Artificial,"📝 Presenta un entorno para reinforcement learning que genera problemas procedurales en dominios formales como planificación PDDL, lógica de primer orden y razonamiento causal. Ofrece suministro infinito de instancias de entrenamiento con verificación externa.","🎯 Entorno para razonamiento simbólico fundamental, Generación procedural de problemas, Verificación mediante herramientas externas",🔗 https://arxiv.org/pdf/2509.18083,2025-09-23
💻 Excavando en lo Interno: Análisis Causal de Llamadas a Función en LLMs,📂 Ingeniería de Software,"📝 Utiliza análisis causal para investigar cómo las llamadas a función influyen en el comportamiento interno de los LLMs. Descubre que mejora significativamente el cumplimiento de instrucciones y la robustez de seguridad, con mejoras del 135% en detección de entradas maliciosas.","🎯 Análisis causal de mecanismos internos, Mejora robustez de seguridad, Intervenciones a nivel de capas y tokens",🔗 https://arxiv.org/pdf/2509.16268,2025-09-23
💻 Pruebas Diferenciales Metamórficas Co-evolutivas Constreñidas para Sistemas Autónomos,📂 Ingeniería de Software,"📝 Presenta CoCoMagic, método que combina pruebas metamórficas, diferenciales y búsqueda evolutiva para detectar divergencias conductuales entre versiones de sistemas autónomos. Evalúa escenarios realistas y proporciona diagnóstico interpretable de causas raíz.","🎯 Detección de divergencias conductuales entre versiones, Búsqueda co-evolutiva constreñida, Enfoque interpretable para diagnóstico",🔗 https://arxiv.org/pdf/2509.16478,2025-09-23
💻 Fuzzing Causal para Verificar Machine Unlearning,📂 Ingeniería de Software,"📝 Propone CAFÉ, framework basado en causalidad para verificar el 'olvido' en modelos de ML. Evalúa efectos directos e indirectos de targets de olvido, detectando influencia residual que métodos baseline pasan por alto.","🎯 Verificación de machine unlearning usando causalidad, Detección de influencia directa e indirecta, Análisis de grano fino eficiente",🔗 https://arxiv.org/pdf/2509.16525,2025-09-23
💻 ¿Es Suficiente la Medición? Repensando la Validación de Salidas en Pruebas de Programas Cuánticos,📂 Ingeniería de Software,"📝 Analiza limitaciones de métodos de validación basados en medición para programas cuánticos. Compara validación por medición con validación por statevector, demostrando que esta última es más efectiva para evaluar comportamientos complejos del programa.","🎯 Crítica a validación por medición en computación cuántica, Comparación con validación por statevector, Evaluación de comportamientos complejos de programas",🔗 https://arxiv.org/pdf/2509.16595,2025-09-23
🔒 Incentivos y Resultados en Programas de Recompensas por Errores,📂 Ingeniería de Software,"📝 Analiza el programa de recompensas por vulnerabilidades de Google, mostrando que aumentos de hasta 200% en recompensas generaron mayor volumen de bugs de alto valor. Evalúa elasticidad y fuentes del aumento entre investigadores veteranos y nuevos.","🎯 Análisis empírico de programas bug bounty, Elasticidad de recompensas vs calidad de bugs, Atracción y redirección de investigadores de seguridad",🔗 https://arxiv.org/pdf/2509.16655,2025-09-23
🧬 Verificación de Interfaces de Usuario usando SPARK Ada: Caso de Estudio del Controlador de Jeringas T34,📂 Ingeniería de Software,📝 Aplica verificación formal con SPARK Ada a un modelo genérico de bomba de infusión basado en el controlador T34. Evalúa la integración de factores humanos en dispositivos médicos mediante métodos formales para anticipar errores en etapas tempranas.,"🎯 Verificación formal de dispositivos médicos, Modelo genérico de bomba de infusión, Integración de factores humanos con SPARK Ada",🔗 https://arxiv.org/pdf/2509.16681,2025-09-23
titulo,categoria,resumen,puntos_clave,enlace,fecha_procesado
titulo,categoria,resumen,puntos_clave,enlace,fecha_procesado
🔒 BASFuzz: Hacia la Evaluación de Robustez de Software NLP Basado en LLM mediante Pruebas de Fuzzing Automatizado,📂 Ingeniería de Software,"📝 BASFuzz es un método de fuzzing especializado para evaluar la robustez de software NLP basado en LLM. Utiliza una métrica de consistencia de texto y un algoritmo de búsqueda Beam-Annealing para guiar las mutaciones. Logra un 90.3% de efectividad reduciendo el tiempo promedio en más de 2,100 segundos comparado con los mejores métodos actuales.","🎯 Fuzzing especializado para LLMs, Algoritmo Beam-Annealing Search, Evaluación en escenarios NLG y NLU, Reducción significativa de tiempo de prueba",🔗 https://arxiv.org/pdf/2509.17335,2025-09-23
💻 SLICET5: Segmentación Estática de Programas usando Modelos de Lenguaje con Mecanismo de Copia y Decodificación Restringida,📂 Ingeniería de Software,📝 Propone un framework novedoso para segmentación estática de programas usando modelos de lenguaje livianos. Incorpora un mecanismo de copia y decodificación restringida para mejorar la precisión. Supera a los métodos state-of-the-art mejorando las puntuaciones ExactMatch hasta en 27%.,"🎯 Segmentación estática con LLMs, Mecanismo de copia para dependencias, Decodificación léxica y sintáctica restringida, Alto rendimiento en código incompleto",🔗 https://arxiv.org/pdf/2509.17338,2025-09-23
🤖 Prompts como Artefactos de Ingeniería de Software: Agenda de Investigación y Hallazgos Preliminares,📂 Ingeniería de Software,"📝 Investiga el uso de prompts en flujos de trabajo con LLMs, revelando que su manejo es principalmente ad-hoc mediante prueba y error. Propone un programa de investigación para desarrollar enfoques sistemáticos de gestión de prompts como artefactos de software.","🎯 Prompts como artefactos de SE, Estudio con 74 profesionales, Uso actual ad-hoc y no estandarizado, Necesidad de gestión sistemática",🔗 https://arxiv.org/pdf/2509.17548,2025-09-23
💻 De OCL a JSX: Modelado Declarativo de Restricciones en Herramientas SaaS Modernas,📂 Ingeniería de Software,📝 Explora JSX como alternativa a OCL para expresión de restricciones en entornos de modelado SaaS. Demuestra que JSX ofrece mayor expresividad y mejor integración con arquitecturas front-end-first en herramientas de bajo código.,"🎯 JSX vs OCL para restricciones, Mejor integración con front-end, Evaluación empírica en escenarios de modelado, Adecuado para plataformas low-code",🔗 https://arxiv.org/pdf/2509.17629,2025-09-23
🔒 Diagnóstico de Violaciones de Especificaciones Basadas en Estado en iCFTL,📂 Ingeniería de Software,📝 Presenta un enfoque de diagnóstico para violaciones de especificaciones iCFTL usando análisis de flujo de datos hacia atrás. La herramienta iCFTL-Diagnostics identifica declaraciones relevantes con 90% de precisión y reduce las líneas a inspeccionar en un 90%.,"🎯 Diagnóstico de violaciones runtime, Análisis de flujo de datos estático, Instrumentación de programas, Baja sobrecarga de ejecución (<30%)",🔗 https://arxiv.org/pdf/2509.17776,2025-09-23
🤖 Hacia la Ingeniería de AGI: Evaluación de las Capacidades de Diseño Ingenieril de los LLMs,"📂 Ingeniería Computacional, Finanzas y Ciencia","📝 Introduce ENGDESIGN, un benchmark que evalúa capacidades de diseño ingenieril de LLMs en 9 dominios. Utiliza simulaciones ejecutables (SPICE, análisis de elementos finitos) para validar diseños generados automáticamente.","🎯 Primer benchmark de diseño ingenieril, 9 dominios de ingeniería, Evaluación basada en simulaciones, Síntesis de conocimiento bajo restricciones",🔗 https://arxiv.org/pdf/2509.16204,2025-09-23
